transcript_Id,Interviewer,Child,Sentiment (window size 7 / no threshold)
NA0064-PC,OKAY IS THERE ANYTHING ELSE YOU WANT TO TELL ME,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5563, 0.5669, 0.5704, 0.5430], grad_fn=<DivBackward0>))"
NA0064-PC,NO ARE YOU FEELING SAFE AT SCHOOL,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5661, 0.5755, 0.5784, 0.5554], grad_fn=<DivBackward0>))"
NA0064-PC,YES WHAT MAKES YOU FEEL SAFE,My friends are really nice,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5686, 0.5762, 0.5780, 0.5615], grad_fn=<DivBackward0>))"
NA0064-PC,FRIENDS ARE NICE,The teachers were nice,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5708, 0.5776, 0.5783, 0.5660], grad_fn=<DivBackward0>))"
NA0064-PC,TEACHERS ARE NICE OKAY IS THERE ANYTHING THAT MAKES YOU FEEL UNSAFE,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5394, 0.5450, 0.5444, 0.5353], grad_fn=<DivBackward0>))"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5568, 0.5608, 0.5616, 0.5534], grad_fn=<DivBackward0>))"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don't know,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5571, 0.5606, 0.5609, 0.5546], grad_fn=<DivBackward0>))"
NA0080-PC,HM-HM,And when I got there we were playing under the sprinkler,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5818, 0.5981, 0.6003, 0.5723], grad_fn=<DivBackward0>))"
NA0080-PC,OKAY SO YOU WERE PLAYING UNDER THE SPRINKLER AND WAS THAT WITH JANET,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5731, 0.5827, 0.5838, 0.5677], grad_fn=<DivBackward0>))"
NA0080-PC,AND WHAT HAPPENED NEXT,Then her grandfather came out and started spraying us with the hose,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5502, 0.5554, 0.5575, 0.5457], grad_fn=<DivBackward0>))"
NA0080-PC,OKAY AND WHAT HAPPENED AFTER THAT,And then he asked us if we wanted to go in the spa,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5602, 0.5638, 0.5644, 0.5573], grad_fn=<DivBackward0>))"
NA0080-PC,OKAY SO HE ASKED YOU IF YOU WANTED TO GO INTO THE SPA AND THEN WHAT HAPPENED AFTER THAT,We're only allowed to go in the spa with an adult,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5570, 0.5593, 0.5597, 0.5550], grad_fn=<DivBackward0>))"
NA0080-PC,HM-HM,So the three of us went in together,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5378, 0.5398, 0.5397, 0.5362], grad_fn=<DivBackward0>))"
NA0080-PC,OKAY SO WHAT HAPPENED AFTER YOU WENT INTO THE SPA WITH JANET AND HER GRANDFATHER,Janet and I were splashing each other,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5414, 0.5435, 0.5437, 0.5398], grad_fn=<DivBackward0>))"
NA0100-PC,ONE TIME OKAY CAN YOU TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE START FROM THE BEGINNING,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6007, 0.6119, 0.6142, 0.5955], grad_fn=<DivBackward0>))"
NA0100-PC,OKAY SO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I play hide and seek with him,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5885, 0.5947, 0.5954, 0.5849], grad_fn=<DivBackward0>))"
NA0100-PC,HM-HM,And we play after school,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5675, 0.5721, 0.5737, 0.5637], grad_fn=<DivBackward0>))"
NA0100-PC,OKAY,And he comes over to my house,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5635, 0.5678, 0.5692, 0.5601], grad_fn=<DivBackward0>))"
NA0100-PC,OKAY YOUR HOUSE,And he came over when his mum was at work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5594, 0.5630, 0.5640, 0.5566], grad_fn=<DivBackward0>))"
NA0100-PC,OKAY SO TELL ME MORE SORRY I’LL START AGAIN SO WHAT ELSE HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I like hiding first because I'm really good at  hiding,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5432, 0.5458, 0.5464, 0.5414], grad_fn=<DivBackward0>))"
NA0100-PC,SO CAN YOU TELL ME THAT AGAIN YOU HIDE,First because I'm really good at hiding,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5331, 0.5360, 0.5363, 0.5317], grad_fn=<DivBackward0>))"
NA0092-PC,YOU DON’T LIVE WITH HIM SO DID SOMETHING HAPPEN TO YOU ON THE WEEKEND,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6118, 0.6199, 0.6235, 0.6055], grad_fn=<DivBackward0>))"
NA0092-PC,CAN YOU TELL ME MORE ABOUT THAT,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6055, 0.6138, 0.6167, 0.6001], grad_fn=<DivBackward0>))"
NA0092-PC,SO WHAT SORT OF THING HAPPENED,He hurt me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5863, 0.5917, 0.5954, 0.5812], grad_fn=<DivBackward0>))"
NA0092-PC,HE HURT YOU AND CAN YOU TEL ME HOW HE HURT YOU,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5925, 0.5982, 0.5993, 0.5895], grad_fn=<DivBackward0>))"
NA0092-PC,AND CAN YOU EXPLAIN,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5914, 0.5970, 0.5980, 0.5888], grad_fn=<DivBackward0>))"
NA0092-PC,HM,He just hurt me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5645, 0.5704, 0.5708, 0.5626], grad_fn=<DivBackward0>))"
NA0092-PC,PARDON,He just hurt me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5536, 0.5595, 0.5597, 0.5518], grad_fn=<DivBackward0>))"
NA0007-PC ,SO IT WAS JUST YOU AND CALLUM,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5927, 0.6074, 0.6127, 0.5857], grad_fn=<DivBackward0>))"
NA0007-PC ,AND YOU TOLD ME THAT IT HURT YEAH,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6145, 0.6232, 0.6291, 0.6064], grad_fn=<DivBackward0>))"
NA0007-PC ,AND I’M REALLY SORRY THAT THAT’S HAPPENED YEAH AND DID YOU SPEAK TO ANYBODY ABOUT WHAT HAS HAPPENED,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5747, 0.5791, 0.5812, 0.5705], grad_fn=<DivBackward0>))"
NA0007-PC ,YEAH WHO DID YOU SPEAK TO,My mum,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5645, 0.5679, 0.5705, 0.5605], grad_fn=<DivBackward0>))"
NA0007-PC ,YOU SPOKE TO YOUR MUM CAN YOU REMEMBER WHEN YOU SPOKE TO MUM,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5653, 0.5689, 0.5705, 0.5625], grad_fn=<DivBackward0>))"
NA0007-PC ,YEAH WHEN WAS THAT,Just when she picked me up in the morning,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5685, 0.5714, 0.5727, 0.5660], grad_fn=<DivBackward0>))"
NA0007-PC ,OKAY SO IT WAS THE NEXT DAY,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5617, 0.5647, 0.5656, 0.5595], grad_fn=<DivBackward0>))"
NA0040-PC,OKAY DID YOU SAY ANYTHING TO THE LADY,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5953, 0.6027, 0.6062, 0.5870], grad_fn=<DivBackward0>))"
NA0040-PC,NO SO WHEN SHE ASKED IF YOU’RE OKAY YOU DIDN’T SAY ANYTHING TO HER,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5631, 0.5718, 0.5741, 0.5576], grad_fn=<DivBackward0>))"
NA0040-PC,NO OKAY SO WHAT DID YOU DO AFTER THAT,I went back to Mum,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5700, 0.5748, 0.5770, 0.5656], grad_fn=<DivBackward0>))"
NA0040-PC,YOU WENT BACK TO YOUR MUM OKAY AND DID YOU TELL YOUR MUM WHAT HAPPENED,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5492, 0.5536, 0.5548, 0.5462], grad_fn=<DivBackward0>))"
NA0040-PC,YEAH CAN YOU REMEMBER WHAT YOU SAID TO YOUR MUM,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5654, 0.5690, 0.5701, 0.5631], grad_fn=<DivBackward0>))"
NA0040-PC,YEAH WHAT DID YOU SAY,I told her I was scared going to the toilet,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5525, 0.5550, 0.5562, 0.5501], grad_fn=<DivBackward0>))"
NA0040-PC,OKAY AND WHAT JESSICA DO YOU REMEMBER WHAT YOU WERE WEARING WHEN YOU WENT TO THE TOILET,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5583, 0.5604, 0.5611, 0.5563], grad_fn=<DivBackward0>))"
