transcript_Id,Interviewer,Child,Sentiment (window size 5 / 0.6 threshold)
NA0079-PC,OKAY THAT’S FINE THANK YOU AND WHEREABOUTS DID WHERE WERE YOU IN THE HOUSE WHEN DADDY’S STICK HURT YOU,In my bed,"{'sequence': 'In my bed', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5732177495956421, 0.1569022536277771, 0.1537719964981079, 0.1161079928278923]}"
NA0079-PC,IN YOUR BED OKAY AND WAS ANYBODY ELSE THERE,No,"{'sequence': 'In my bed. No', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.4605025351047516, 0.23525163531303406, 0.17170463502407074, 0.1325412094593048]}"
NA0079-PC,NO OKAY I SEE AND WHAT WERE YOU DOING ON YOUR BED,I was going to sleep,"{'sequence': 'In my bed. No. I was going to sleep', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.36762237548828125, 0.28069666028022766, 0.2287757843732834, 0.12290526926517487]}"
NA0079-PC,OKAY WHAT HAPPENED THEN WHEN YOU WERE GOING TO SLEEP,Then he came in and he said he had a present for me,"{'sequence': 'Then he came in and he said he had a present for me', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.8096671104431152, 0.06872963905334473, 0.06171343848109245, 0.059889789670705795]}"
NA0079-PC,OH OKAY HE SAID HE HAS A PRESENT OKAY AND WHAT WAS DAD’S PRESENT,It wasn’t really a present,"{'sequence': 'Then he came in and he said he had a present for me. It wasn’t really a present', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.3995969593524933, 0.2377006560564041, 0.18651196360588074, 0.17619042098522186]}"
NA0047-PC,OKAY SO IT’S VERY IMPORTANT THAT YOU TELL ME WHAT’S HAPPENED IN THE TUNNEL AND I WANT TO BE IT’S VERY IMPORTANT THAT YOU TELL ME WHAT HAPPENED IN THE TUNNEL ARE YOU ABLE TO TALK WITH ME A BIT MORE ABOUT THAT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
NA0047-PC,OKAY WHAT HAPPENED IN THE TUNNEL THEN ISABELLE,He told me that he has to be the doctor and I have to be the patient,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.29167836904525757, 0.270661324262619, 0.23150265216827393, 0.2061576247215271]}"
NA0047-PC,OKAY AND THEN WHAT HAPPENS WITH THAT GAME,He got a stick and he knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.494778573513031, 0.22254876792430878, 0.21006914973258972, 0.0726035013794899]}"
NA0047-PC,AND HE WHAT SORRY,Knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.36286675930023193, 0.2758936882019043, 0.2264920324087143, 0.13474752008914948]}"
NA0047-PC,KNOCKED IT ON YOUR BONES,Hm-hm,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones. Hm-hm', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.3594048321247101, 0.27874141931533813, 0.19773297011852264, 0.16412073373794556]}"
