transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.4 threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.46254706382751465, 0.2203867882490158, 0.192191481590271, 0.12487463653087616]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': 'Sometimes I stay at his house', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4833754599094391, 0.17508086562156677, 0.1718851625919342, 0.16965852677822113]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': 'And sometimes we play on the computer', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8602498769760132, 0.049371812492609024, 0.04653504118323326, 0.04384322464466095]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5480760335922241, 0.19210372865200043, 0.14758503437042236, 0.11223524063825607]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.29250067472457886, 0.2876134514808655, 0.2444068342447281, 0.1754790097475052]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': 'Yeah. And then he pulled my pants down', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.2843010723590851, 0.2719307243824005, 0.2590469717979431, 0.1847212314605713]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.6887760758399963, 0.132369264960289, 0.09106142818927765, 0.08779322355985641]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
