transcript_Id,Interviewer,Child,Sentiment (window size 7 / no threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0380,  0.1010, -0.0467, -0.0948], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.0497,  0.0983, -0.0062, -0.1062], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY,And sometimes we play on the computer,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.1054,  0.0965, -0.0610, -0.1139], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.1155,  0.0564, -0.0301, -0.1348], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.1254,  0.0048, -0.0656, -0.1416], grad_fn=<DivBackward0>))"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.1265,  0.0081, -0.0698, -0.1388], grad_fn=<DivBackward0>))"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([-0.1296, -0.0414, -0.0561, -0.1303], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0809, 0.0454, 0.0595, 0.2594], grad_fn=<DivBackward0>))"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0724, 0.0527, 0.0525, 0.2485], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0644, 0.0610, 0.0472, 0.2410], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0486, -0.0105, -0.0215,  0.1276], grad_fn=<DivBackward0>))"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0517,  0.0105, -0.0066,  0.1089], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0627,  0.0182, -0.0106,  0.1006], grad_fn=<DivBackward0>))"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0675, -0.0002, -0.0064,  0.1090], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.3428, -0.0316,  0.1183,  0.3186], grad_fn=<DivBackward0>))"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1203, -0.1329, -0.0839,  0.1983], grad_fn=<DivBackward0>))"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1295, -0.1041, -0.0660,  0.2362], grad_fn=<DivBackward0>))"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1691, -0.0580, -0.0048,  0.2822], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1626, -0.0823,  0.0125,  0.2807], grad_fn=<DivBackward0>))"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1412, -0.0794,  0.0082,  0.2543], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And she wasn't moving,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1481, -0.0897,  0.0127,  0.2601], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2123, 0.1374, 0.1826, 0.2351], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1124, 0.1228, 0.1194, 0.1691], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0682, -0.0035,  0.0986,  0.0843], grad_fn=<DivBackward0>))"
NA0072-PC ,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0527, -0.0352,  0.1206,  0.0571], grad_fn=<DivBackward0>))"
NA0072-PC ,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0683, -0.0529,  0.1307,  0.0709], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0675, -0.0459,  0.1721,  0.0590], grad_fn=<DivBackward0>))"
NA0072-PC ,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.0683, -0.0422,  0.1765,  0.0596], grad_fn=<DivBackward0>))"
NA0085-PC,UP TO YOUR CHIN ALL RIGHT SO TELL ME ABOUT THE BIT WHEN HE TICKLES YOUR MINI HOW LONG DOES HE DO THIS FOR,A long time,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1948, 0.2551, 0.2634, 0.1761], grad_fn=<DivBackward0>))"
NA0085-PC,A LONG TIME WHAT DOES IT FEEL LIKE,A bit yucky,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2244, 0.4213, 0.3365, 0.1265], grad_fn=<DivBackward0>))"
NA0085-PC,OKAY ALL RIGHT WHEN THIS HAPPENS WHERE’S MUM,She's at work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.0322, 0.2201, 0.1954, 0.0728], grad_fn=<DivBackward0>))"
