transcript_Id,Interviewer,Child,Sentiment (window size 3 / 0.4 threshold)
NA0018-M7,HM-HM,And I told her that I don’t want to go back to Janet’s house anymore,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.3402694761753082, 0.28291335701942444, 0.2634180784225464, 0.11339903622865677]}"
NA0018-M7,OKAY AND WHAT HAPPENED WHEN YOU TOLD YOUR MUMMY YOU DIDN’T WANT TO GO TO JANET’S HOUSE ANYMORE,She just asked me why,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.3113546371459961, 0.2939019501209259, 0.27401453256607056, 0.12072891741991043]}"
NA0018-M7,HM-HM,And I just said because Janet’s pop he touched me and I didn’t like it,"{'sequence': 'And I just said because Janet’s pop he touched me and I didn’t like it', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.5307074785232544, 0.2216925472021103, 0.21014559268951416, 0.03745435178279877]}"
NA0060-PC,SO TELL ME HOW OLD MARK IS,He’s 17,"{'sequence': 'He’s 17', 'labels': ['anger', 'enjoyment', 'sadness', 'fear'], 'scores': [0.31240275502204895, 0.2692369222640991, 0.21113178133964539, 0.20722860097885132]}"
NA0060-PC,SARAH TELL ME THE LAST TIME YOU SAW MARK,I think it was last week,"{'sequence': 'I think it was last week', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4207822382450104, 0.19365639984607697, 0.19333678483963013, 0.1922246217727661]}"
NA0060-PC,TELL ME SARAH TELL ME ABOUT WHEN YOU LAST SAW MARK WHERE YOU WERE THINGS LIKE THAT,I came home from school and he was looking after me and he started saying nasty things to me,"{'sequence': 'I came home from school and he was looking after me and he started saying nasty things to me', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5192534923553467, 0.28318458795547485, 0.16989171504974365, 0.027670172974467278]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9870399236679077, 0.004557368811219931, 0.004499323666095734, 0.0039034290239214897]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.8094577789306641, 0.0716114193201065, 0.0660397931933403, 0.05289097875356674]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'Yeah and it made this big red mark on the wall', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.43347224593162537, 0.3304136395454407, 0.12192044407129288, 0.11419361084699631]}"
NA0077-PC,OKAY SO WHEN POP GRABBED YOUR GIRLIE BITS WAS IT FOR A SHORT TIME OR A LONG TIME,For a short time,"{'sequence': 'For a short time', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5089194178581238, 0.18731282651424408, 0.18263307213783264, 0.12113472819328308]}"
