transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.5 threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4626696705818176, 0.24676692485809326, 0.16518528759479523, 0.12537814676761627]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': 'Sometimes I stay at his house', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.535325288772583, 0.18326151371002197, 0.16008545458316803, 0.12132777273654938]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': 'And sometimes we play on the computer', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.8149431347846985, 0.07690335065126419, 0.05942869931459427, 0.04872487112879753]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.8059354424476624, 0.07388666272163391, 0.07042570412158966, 0.04975225776433945]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7179617285728455, 0.11558354645967484, 0.10175635665655136, 0.06469830125570297]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': 'Yeah. And then he pulled my pants down', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.35687386989593506, 0.33503082394599915, 0.17894378304481506, 0.12915149331092834]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.763827919960022, 0.1010664626955986, 0.08773700147867203, 0.047368600964546204]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"{'sequence': 'Naked people', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5763500332832336, 0.16221868991851807, 0.16003482043743134, 0.10139644145965576]}"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"{'sequence': ""Touching each other's privates"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5156723856925964, 0.2185027301311493, 0.15779638290405273, 0.10802849382162094]}"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"{'sequence': ""Touching each other's privates. I wasn't sitting"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4876892864704132, 0.20577241480350494, 0.1716482788324356, 0.13489001989364624]}"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"{'sequence': ""Touching each other's privates. I wasn't sitting. Standing next to him"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5111062526702881, 0.19952720403671265, 0.1680101901292801, 0.12135632336139679]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9870399236679077, 0.004557368811219931, 0.004499323666095734, 0.0039034290239214897]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.8094577789306641, 0.0716114193201065, 0.0660397931933403, 0.05289097875356674]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'enjoyment', 'fear', 'sadness'], 'scores': [0.7895649075508118, 0.10799150913953781, 0.06496980041265488, 0.03747376427054405]}"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"{'sequence': 'Then that was when he was just being nasty and saying mean things', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.8225491046905518, 0.08985552936792374, 0.044567737728357315, 0.04302767664194107]}"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"{'sequence': 'Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5954167246818542, 0.19386659562587738, 0.16576071083545685, 0.044956009835004807]}"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"{'sequence': 'Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.5353582501411438, 0.20874275267124176, 0.20688310265541077, 0.04901594668626785]}"
NA0016-M6,HM-HM,And she wasn't moving,"{'sequence': ""Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground. And she wasn't moving"", 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.5320261120796204, 0.2379872351884842, 0.1774742156267166, 0.05251244455575943]}"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"{'sequence': 'On different days', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.43951526284217834, 0.2064635008573532, 0.19040390849113464, 0.16361728310585022]}"
