transcript_Id,Interviewer,Child,Sentiment (window size 5 / no threshold)
NA0079-PC,OKAY THAT’S FINE THANK YOU AND WHEREABOUTS DID WHERE WERE YOU IN THE HOUSE WHEN DADDY’S STICK HURT YOU,In my bed,"{'sequence': 'In my bed', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.49107080698013306, 0.2114705592393875, 0.1581563651561737, 0.13930228352546692]}"
NA0079-PC,IN YOUR BED OKAY AND WAS ANYBODY ELSE THERE,No,"{'sequence': 'In my bed. No', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.34414607286453247, 0.272193044424057, 0.24206800758838654, 0.14159289002418518]}"
NA0079-PC,NO OKAY I SEE AND WHAT WERE YOU DOING ON YOUR BED,I was going to sleep,"{'sequence': 'In my bed. No. I was going to sleep', 'labels': ['fear', 'enjoyment', 'sadness', 'anger'], 'scores': [0.3222050666809082, 0.28912001848220825, 0.2080422192811966, 0.18063272535800934]}"
NA0079-PC,OKAY WHAT HAPPENED THEN WHEN YOU WERE GOING TO SLEEP,Then he came in and he said he had a present for me,"{'sequence': 'In my bed. No. I was going to sleep. Then he came in and he said he had a present for me', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.30999577045440674, 0.2642792761325836, 0.25451868772506714, 0.17120622098445892]}"
NA0079-PC,OH OKAY HE SAID HE HAS A PRESENT OKAY AND WHAT WAS DAD’S PRESENT,It wasn’t really a present,"{'sequence': 'In my bed. No. I was going to sleep. Then he came in and he said he had a present for me. It wasn’t really a present', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.29104816913604736, 0.2584318518638611, 0.24382872879505157, 0.20669126510620117]}"
NA0047-PC,OKAY SO IT’S VERY IMPORTANT THAT YOU TELL ME WHAT’S HAPPENED IN THE TUNNEL AND I WANT TO BE IT’S VERY IMPORTANT THAT YOU TELL ME WHAT HAPPENED IN THE TUNNEL ARE YOU ABLE TO TALK WITH ME A BIT MORE ABOUT THAT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0047-PC,OKAY WHAT HAPPENED IN THE TUNNEL THEN ISABELLE,He told me that he has to be the doctor and I have to be the patient,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.35294535756111145, 0.2773323655128479, 0.25894612073898315, 0.11077616363763809]}"
NA0047-PC,OKAY AND THEN WHAT HAPPENS WITH THAT GAME,He got a stick and he knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5277096629142761, 0.21062929928302765, 0.18922047317028046, 0.07244058698415756]}"
NA0047-PC,AND HE WHAT SORRY,Knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5812885165214539, 0.18218104541301727, 0.1698256880044937, 0.06670476496219635]}"
NA0047-PC,KNOCKED IT ON YOUR BONES,Hm-hm,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones. Hm-hm', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5201977491378784, 0.18751898407936096, 0.17957158386707306, 0.11271171271800995]}"
NA0076-PC,TELL ME MORE ABOUT THE PART WHERE HE PUT HIS HAND IN YOUR UNDIES,He wrapped his hand around my doodle and then I said I didn’t like it,"{'sequence': 'He wrapped his hand around my doodle and then I said I didn’t like it', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.3919979929924011, 0.2518232762813568, 0.18800562620162964, 0.16817310452461243]}"
NA0076-PC,HM-HM,And then he laughed and took it out,"{'sequence': 'He wrapped his hand around my doodle and then I said I didn’t like it. And then he laughed and took it out', 'labels': ['anger', 'enjoyment', 'fear', 'sadness'], 'scores': [0.4085175693035126, 0.27176234126091003, 0.18343886733055115, 0.13628128170967102]}"
NA0076-PC,OKAY WHAT HAPPENS NEXT,And then I went home,"{'sequence': 'He wrapped his hand around my doodle and then I said I didn’t like it. And then he laughed and took it out. And then I went home', 'labels': ['anger', 'enjoyment', 'fear', 'sadness'], 'scores': [0.39235442876815796, 0.2542063891887665, 0.20812277495861053, 0.14531639218330383]}"
NA0076-PC,HM-HM AND WAS ANYONE ELSE WITH YOU AT UNCLE GEORGE,No,"{'sequence': 'He wrapped his hand around my doodle and then I said I didn’t like it. And then he laughed and took it out. And then I went home. No', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.39202404022216797, 0.21962280571460724, 0.21891382336616516, 0.1694393754005432]}"
NA0076-PC,HM-HM AND CAN YOU TELL ME MORE ABOUT THE BIG BOYS GAME HAVE YOU PLAYED IT MORE THAN ONE TIME,Yes,"{'sequence': 'He wrapped his hand around my doodle and then I said I didn’t like it. And then he laughed and took it out. And then I went home. No. Yes', 'labels': ['anger', 'enjoyment', 'sadness', 'fear'], 'scores': [0.37002435326576233, 0.22464998066425323, 0.2038864642381668, 0.20143915712833405]}"
NA0082-PC,DID ANYBODY ELSE SEE THE MARKS,No,"{'sequence': 'No', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.33572548627853394, 0.270730584859848, 0.2609308362007141, 0.13261301815509796]}"
NA0082-PC,NO WHY NOT,I don’t know,"{'sequence': 'No. I don’t know', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.3742762506008148, 0.27120447158813477, 0.20259439945220947, 0.15192486345767975]}"
NA0082-PC,OKAY SO TELL ME MORE ABOUT THE PART WHERE YOU BROKE THE CONTROLLER WHAT HAPPENED,We were just playing Nintendo and I was just standing up so I could go faster and it fell,"{'sequence': 'No. I don’t know. We were just playing Nintendo and I was just standing up so I could go faster and it fell', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.37079596519470215, 0.30534374713897705, 0.1650625765323639, 0.1587977111339569]}"
NA0082-PC,OKAY,And then he said I was in trouble,"{'sequence': 'No. I don’t know. We were just playing Nintendo and I was just standing up so I could go faster and it fell. And then he said I was in trouble', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.4226761758327484, 0.23031280934810638, 0.18673892319202423, 0.16027212142944336]}"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"{'sequence': 'No. I don’t know. We were just playing Nintendo and I was just standing up so I could go faster and it fell. And then he said I was in trouble. Work', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3089846968650818, 0.27090561389923096, 0.21706286072731018, 0.20304682850837708]}"
NA0047-PC,OH YEAH AND WHAT DOES THAT MEAN,He tells me to go on my hands and knees,"{'sequence': 'He tells me to go on my hands and knees', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.3524227738380432, 0.2603197395801544, 0.25046810507774353, 0.13678935170173645]}"
NA0047-PC,HM-HM,And then he put the stick in my bottom,"{'sequence': 'He tells me to go on my hands and knees. And then he put the stick in my bottom', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.45124730467796326, 0.3167850077152252, 0.1396733969449997, 0.09229426831007004]}"
NA0047-PC,OH OKAY HAS THIS HAPPENED BEFORE,No,"{'sequence': 'He tells me to go on my hands and knees. And then he put the stick in my bottom. No', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.4292018711566925, 0.3564939796924591, 0.15751035511493683, 0.056793782860040665]}"
