transcript_Id,Interviewer,Child,Sentiment (window size 5 / 0.5 threshold)
NA0079-PC,OKAY THAT’S FINE THANK YOU AND WHEREABOUTS DID WHERE WERE YOU IN THE HOUSE WHEN DADDY’S STICK HURT YOU,In my bed,"{'sequence': 'In my bed', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.47831395268440247, 0.21690508723258972, 0.16867531836032867, 0.13610564172267914]}"
NA0079-PC,IN YOUR BED OKAY AND WAS ANYBODY ELSE THERE,No,"{'sequence': 'In my bed. No', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.3177858293056488, 0.3122580945491791, 0.18602637946605682, 0.18392972648143768]}"
NA0079-PC,NO OKAY I SEE AND WHAT WERE YOU DOING ON YOUR BED,I was going to sleep,"{'sequence': 'In my bed. No. I was going to sleep', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.34820401668548584, 0.25826361775398254, 0.20682568848133087, 0.18670663237571716]}"
NA0079-PC,OKAY WHAT HAPPENED THEN WHEN YOU WERE GOING TO SLEEP,Then he came in and he said he had a present for me,"{'sequence': 'Then he came in and he said he had a present for me', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.5498115420341492, 0.20460517704486847, 0.13874992728233337, 0.10683335363864899]}"
NA0079-PC,OH OKAY HE SAID HE HAS A PRESENT OKAY AND WHAT WAS DAD’S PRESENT,It wasn’t really a present,"{'sequence': 'Then he came in and he said he had a present for me. It wasn’t really a present', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.36307767033576965, 0.23085884749889374, 0.21238698065280914, 0.19367647171020508]}"
NA0047-PC,OKAY SO IT’S VERY IMPORTANT THAT YOU TELL ME WHAT’S HAPPENED IN THE TUNNEL AND I WANT TO BE IT’S VERY IMPORTANT THAT YOU TELL ME WHAT HAPPENED IN THE TUNNEL ARE YOU ABLE TO TALK WITH ME A BIT MORE ABOUT THAT,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0047-PC,OKAY WHAT HAPPENED IN THE TUNNEL THEN ISABELLE,He told me that he has to be the doctor and I have to be the patient,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.31131064891815186, 0.25292396545410156, 0.2185046523809433, 0.2172606736421585]}"
NA0047-PC,OKAY AND THEN WHAT HAPPENS WITH THAT GAME,He got a stick and he knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.33079472184181213, 0.2393820434808731, 0.22599752247333527, 0.2038256973028183]}"
NA0047-PC,AND HE WHAT SORRY,Knocked it on all my bones,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.3281378149986267, 0.2612713873386383, 0.22796528041362762, 0.18262551724910736]}"
NA0047-PC,KNOCKED IT ON YOUR BONES,Hm-hm,"{'sequence': 'Yeah. He told me that he has to be the doctor and I have to be the patient. He got a stick and he knocked it on all my bones. Knocked it on all my bones. Hm-hm', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.32670581340789795, 0.24656981229782104, 0.23453231155872345, 0.19219207763671875]}"
