transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.6 threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.5033506155014038, 0.24636393785476685, 0.14925456047058105, 0.10103090107440948]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.33319833874702454, 0.24299271404743195, 0.22986270487308502, 0.1939462274312973]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.384568989276886, 0.24711646139621735, 0.191153883934021, 0.17716069519519806]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.42788875102996826, 0.2214837521314621, 0.18906912207603455, 0.1615583747625351]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night"", 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.348293662071228, 0.2684938907623291, 0.19909100234508514, 0.18412144482135773]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.37461620569229126, 0.2702130675315857, 0.1815984696149826, 0.17357224225997925]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah. And then he pulled my pants down"", 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.31446823477745056, 0.2787422835826874, 0.22270938754081726, 0.18408013880252838]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.38351622223854065, 0.2839704751968384, 0.23604115843772888, 0.09647221118211746]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.361726850271225, 0.32728442549705505, 0.2512243986129761, 0.059764303267002106]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah. Yeah', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.3679443597793579, 0.34415102005004883, 0.23727166652679443, 0.05063297972083092]}"
